"filename", "language", "XML", "Markdown", "JSON", "C#", "Properties", "comment", "blank", "total"
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Release\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 3, 0, 1, 1, 5
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Release\net7.0\DataAccess.AssemblyInfo.cs", "C#", 0, 0, 0, 9, 0, 10, 5, 24
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Release\net7.0\DataAccess.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\Release\net7.0\DataAccess.GlobalUsings.g.cs", "C#", 0, 0, 0, 7, 0, 1, 1, 9
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\DataAccess\obj\project.assets.json", "JSON", 0, 0, 4080, 0, 0, 0, 0, 4080
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Anio.cs", "C#", 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\AnioCurso.cs", "C#", 0, 0, 0, 10, 0, 0, 4, 14
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Coordenada.cs", "C#", 0, 0, 0, 14, 0, 0, 12, 26
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Curso.cs", "C#", 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Docente.cs", "C#", 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\EstudiaEn.cs", "C#", 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Estudiante.cs", "C#", 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Horario.cs", "C#", 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\HorarioCmUbicacione.cs", "C#", 0, 0, 0, 12, 0, 0, 10, 22
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Materium.cs", "C#", 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Plano.cs", "C#", 0, 0, 0, 10, 0, 0, 4, 14
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Ubicacione.cs", "C#", 0, 0, 0, 16, 0, 0, 10, 26
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\Concrete\Usuario.cs", "C#", 0, 0, 0, 20, 0, 0, 11, 31
"c:\Users\DeRep\Desktop\Aphebackend-Definitivo\Aphebackend-Definitivo\Entities\DTO´s\AuthDTO.cs", "C#", 0, 0, 0, 8, 0, 0, 3, 11
